Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-03-22 00:00:00+00:00,1801.23,1819.98,1710.12,1734.33,891287.6009,2023-03-22 23:59:59.999000+00:00,1581074700.20938,1286030.0,432312.7267,767322678.065599
2023-03-23 00:00:00+00:00,1734.34,1857.16,1729.35,1813.79,732061.103,2023-03-23 23:59:59.999000+00:00,1312199315.577505,1074713.0,388644.191,697106769.812962
2023-03-24 00:00:00+00:00,1813.78,1818.99,1726.4,1749.57,564770.1417,2023-03-24 23:59:59.999000+00:00,1001546184.532135,855600.0,283157.3494,502222091.710247
2023-03-25 00:00:00+00:00,1749.57,1763.23,1713.09,1741.88,355679.3743,2023-03-25 23:59:59.999000+00:00,620341997.183512,620651.0,174749.2834,304837439.681757
2023-03-26 00:00:00+00:00,1741.88,1801.0,1739.31,1773.88,354933.2372,2023-03-26 23:59:59.999000+00:00,627660488.27267,592618.0,178518.2669,315691892.319254
2023-03-27 00:00:00+00:00,1773.88,1780.48,1686.13,1715.22,570563.5023,2023-03-27 23:59:59.999000+00:00,987197970.21984,810253.0,274628.4302,475175903.710224
2023-03-28 00:00:00+00:00,1715.21,1795.73,1701.13,1772.99,536511.3973,2023-03-28 23:59:59.999000+00:00,935507384.149678,766887.0,286377.2164,499476096.824357
2023-03-29 00:00:00+00:00,1773.0,1827.99,1772.48,1793.07,536865.5972,2023-03-29 23:59:59.999000+00:00,967342311.082234,810500.0,283946.5459,511607922.311683
2023-03-30 00:00:00+00:00,1793.06,1829.69,1763.0,1793.61,579690.0394,2023-03-30 23:59:59.999000+00:00,1039397383.7804,876484.0,299825.6561,537640857.627622
2023-03-31 00:00:00+00:00,1793.6,1847.28,1777.91,1821.52,554525.4762,2023-03-31 23:59:59.999000+00:00,1006896937.025254,902956.0,289189.755,525237162.942127
2023-04-01 00:00:00+00:00,1821.52,1842.83,1807.81,1820.79,272904.9674,2023-04-01 23:59:59.999000+00:00,497460628.076191,579259.0,138942.8139,253278130.995171
2023-04-02 00:00:00+00:00,1820.8,1824.81,1771.7,1794.51,322122.9385,2023-04-02 23:59:59.999000+00:00,580909276.164171,637705.0,162593.2236,293256522.063042
2023-04-03 00:00:00+00:00,1794.51,1839.99,1762.77,1810.51,628503.6619,2023-04-03 23:59:59.999000+00:00,1131436800.437073,1098681.0,318256.9181,573104096.04297
2023-04-04 00:00:00+00:00,1810.51,1891.91,1802.01,1870.37,622208.6411,2023-04-04 23:59:59.999000+00:00,1151551698.653268,1087425.0,324318.0474,599946499.359023
2023-04-05 00:00:00+00:00,1870.38,1942.98,1864.58,1908.69,548595.5155,2023-04-05 23:59:59.999000+00:00,1045846831.791563,1077031.0,281338.725,536320635.934765
2023-04-06 00:00:00+00:00,1908.68,1909.91,1853.7,1872.41,396241.4352,2023-04-06 23:59:59.999000+00:00,743618300.024,916688.0,190334.8978,357167485.352436
2023-04-07 00:00:00+00:00,1872.41,1882.61,1841.46,1863.72,284256.4873,2023-04-07 23:59:59.999000+00:00,528718750.378566,829061.0,143802.1285,267474497.282928
2023-04-08 00:00:00+00:00,1863.73,1879.38,1847.0,1848.82,197905.5407,2023-04-08 23:59:59.999000+00:00,368792680.929658,902787.0,97213.2882,181198387.334433
2023-04-09 00:00:00+00:00,1848.82,1873.99,1824.01,1858.92,287131.3079,2023-04-09 23:59:59.999000+00:00,529878494.840373,953458.0,146393.8295,270125898.843105
2023-04-10 00:00:00+00:00,1858.91,1918.79,1846.4,1910.2,434739.7984,2023-04-10 23:59:59.999000+00:00,816212712.862947,586284.0,218877.8586,410947350.79718
2023-04-11 00:00:00+00:00,1910.21,1937.37,1881.11,1889.86,405203.4892,2023-04-11 23:59:59.999000+00:00,774389695.845932,590527.0,209441.7172,400266668.511361
2023-04-12 00:00:00+00:00,1889.86,1933.0,1852.65,1917.39,630844.4186,2023-04-12 23:59:59.999000+00:00,1195663632.078732,801456.0,318566.1128,603818547.582894
2023-04-13 00:00:00+00:00,1917.4,2023.0,1899.55,2012.01,676164.5188,2023-04-13 23:59:59.999000+00:00,1333377092.124591,911569.0,358627.7444,706952043.883102
2023-04-14 00:00:00+00:00,2012.0,2128.76,2009.22,2099.99,896307.3934,2023-04-14 23:59:59.999000+00:00,1877719501.123732,1182309.0,463960.1556,971826170.994831
2023-04-15 00:00:00+00:00,2099.99,2111.85,2071.13,2090.6,321823.7851,2023-04-15 23:59:59.999000+00:00,674260851.49151,505299.0,159120.98,333402759.039286
2023-04-16 00:00:00+00:00,2090.61,2141.54,2072.72,2118.67,319880.4393,2023-04-16 23:59:59.999000+00:00,673034613.415835,529231.0,162518.1328,341954921.313032
2023-04-17 00:00:00+00:00,2118.66,2120.51,2056.25,2074.0,426972.7071,2023-04-17 23:59:59.999000+00:00,889433328.786508,674817.0,206218.4799,429616895.547511
2023-04-18 00:00:00+00:00,2073.99,2125.0,2051.0,2103.5,414244.6135,2023-04-18 23:59:59.999000+00:00,867291463.569828,636801.0,205943.0188,431182409.022914
2023-04-19 00:00:00+00:00,2103.51,2104.6,1923.03,1933.73,775389.0602,2023-04-19 23:59:59.999000+00:00,1547934187.85902,1116849.0,381226.9641,760478525.516055
2023-04-20 00:00:00+00:00,1933.74,1982.99,1914.43,1942.98,625336.2495,2023-04-20 23:59:59.999000+00:00,1218184973.299396,869619.0,307551.8071,598986977.594464
2023-04-21 00:00:00+00:00,1942.98,1957.27,1825.0,1848.78,688876.6186,2023-04-21 23:59:59.999000+00:00,1306179482.091942,868887.0,339964.1825,644708261.744395
2023-04-22 00:00:00+00:00,1848.77,1887.31,1841.64,1874.16,331007.5879,2023-04-22 23:59:59.999000+00:00,616579601.311765,451499.0,168125.1409,313147831.357009
2023-04-23 00:00:00+00:00,1874.17,1882.01,1836.37,1862.0,344514.3444,2023-04-23 23:59:59.999000+00:00,641362428.689366,463928.0,180537.4201,336129438.631238
2023-04-24 00:00:00+00:00,1862.01,1890.0,1806.0,1841.84,447864.0517,2023-04-24 23:59:59.999000+00:00,826968889.241232,682824.0,216968.9613,400599962.395403
2023-04-25 00:00:00+00:00,1841.84,1877.86,1801.66,1866.1,457870.6047,2023-04-25 23:59:59.999000+00:00,839226421.378246,631766.0,238370.8971,436940670.148063
2023-04-26 00:00:00+00:00,1866.1,1964.72,1785.0,1866.01,897709.7298,2023-04-26 23:59:59.999000+00:00,1695903568.960903,1182620.0,445589.9861,842104509.424001
